battle_tag,learner,opponent,outcome,n_turns,learner_pokemon_remaining,opponent_pokemon_remaining
battle-gen9randombattle-25687,QLearningPlayer 1,RandomPlayer 1,Win,56,3,6
battle-gen9randombattle-25688,QLearningPlayer 1,RandomPlayer 1,Win,24,3,6
battle-gen9randombattle-25689,QLearningPlayer 1,RandomPlayer 1,Win,17,1,6
battle-gen9randombattle-25690,QLearningPlayer 1,RandomPlayer 1,Win,27,3,6
battle-gen9randombattle-25691,QLearningPlayer 1,RandomPlayer 1,Win,41,2,6
battle-gen9randombattle-25692,QLearningPlayer 1,RandomPlayer 1,Win,13,0,6
battle-gen9randombattle-25693,QLearningPlayer 1,RandomPlayer 1,Win,9,0,6
battle-gen9randombattle-25694,QLearningPlayer 1,RandomPlayer 1,Loss,77,6,5
battle-gen9randombattle-25695,QLearningPlayer 1,RandomPlayer 1,Win,19,1,6
battle-gen9randombattle-25696,QLearningPlayer 1,RandomPlayer 1,Win,39,2,6
battle-gen9randombattle-25697,QLearningPlayer 1,RandomPlayer 1,Win,35,3,6
battle-gen9randombattle-25698,QLearningPlayer 1,RandomPlayer 1,Win,27,4,6
battle-gen9randombattle-25699,QLearningPlayer 1,RandomPlayer 1,Win,40,3,6
battle-gen9randombattle-25700,QLearningPlayer 1,RandomPlayer 1,Win,50,3,6
battle-gen9randombattle-25701,QLearningPlayer 1,RandomPlayer 1,Win,14,1,6
battle-gen9randombattle-25702,QLearningPlayer 1,RandomPlayer 1,Win,29,5,6
battle-gen9randombattle-25703,QLearningPlayer 1,RandomPlayer 1,Win,83,1,6
battle-gen9randombattle-25704,QLearningPlayer 1,RandomPlayer 1,Win,57,2,6
battle-gen9randombattle-25705,QLearningPlayer 1,RandomPlayer 1,Win,43,4,6
battle-gen9randombattle-25706,QLearningPlayer 1,RandomPlayer 1,Win,39,4,6
battle-gen9randombattle-25707,QLearningPlayer 1,RandomPlayer 1,Win,31,2,6
battle-gen9randombattle-25708,QLearningPlayer 1,RandomPlayer 1,Loss,75,6,5
battle-gen9randombattle-25709,QLearningPlayer 1,RandomPlayer 1,Win,61,2,6
battle-gen9randombattle-25710,QLearningPlayer 1,RandomPlayer 1,Win,37,0,6
battle-gen9randombattle-25711,QLearningPlayer 1,RandomPlayer 1,Win,80,5,6
battle-gen9randombattle-25712,QLearningPlayer 1,RandomPlayer 1,Win,25,1,6
