battle_tag,learner,opponent,outcome,n_turns,learner_pokemon_remaining,opponent_pokemon_remaining
battle-gen9randombattle-28087,QLearningPlayer 1,RandomPlayer 1,Loss,37,6,5
battle-gen9randombattle-28088,QLearningPlayer 1,RandomPlayer 1,Win,127,4,6
battle-gen9randombattle-28089,QLearningPlayer 1,RandomPlayer 1,Win,52,2,6
battle-gen9randombattle-28090,QLearningPlayer 1,RandomPlayer 1,Loss,58,6,5
battle-gen9randombattle-28091,QLearningPlayer 1,RandomPlayer 1,Win,20,1,6
battle-gen9randombattle-28092,QLearningPlayer 1,RandomPlayer 1,Win,17,2,6
battle-gen9randombattle-28093,QLearningPlayer 1,RandomPlayer 1,Win,47,4,6
battle-gen9randombattle-28094,QLearningPlayer 1,RandomPlayer 1,Win,39,3,6
battle-gen9randombattle-28095,QLearningPlayer 1,RandomPlayer 1,Win,30,4,6
battle-gen9randombattle-28096,QLearningPlayer 1,RandomPlayer 1,Win,25,5,6
battle-gen9randombattle-28097,QLearningPlayer 1,RandomPlayer 1,Loss,40,6,5
battle-gen9randombattle-28098,QLearningPlayer 1,RandomPlayer 1,Win,22,2,6
battle-gen9randombattle-28099,QLearningPlayer 1,RandomPlayer 1,Win,23,2,6
battle-gen9randombattle-28100,QLearningPlayer 1,RandomPlayer 1,Win,58,2,6
battle-gen9randombattle-28101,QLearningPlayer 1,RandomPlayer 1,Win,47,3,6
battle-gen9randombattle-28102,QLearningPlayer 1,RandomPlayer 1,Win,16,1,6
battle-gen9randombattle-28103,QLearningPlayer 1,RandomPlayer 1,Win,30,4,6
battle-gen9randombattle-28104,QLearningPlayer 1,RandomPlayer 1,Win,24,2,6
battle-gen9randombattle-28105,QLearningPlayer 1,RandomPlayer 1,Win,29,4,6
battle-gen9randombattle-28106,QLearningPlayer 1,RandomPlayer 1,Loss,92,6,5
battle-gen9randombattle-28107,QLearningPlayer 1,RandomPlayer 1,Win,29,2,6
battle-gen9randombattle-28108,QLearningPlayer 1,RandomPlayer 1,Win,26,2,6
battle-gen9randombattle-28109,QLearningPlayer 1,RandomPlayer 1,Win,56,4,6
battle-gen9randombattle-28110,QLearningPlayer 1,RandomPlayer 1,Win,32,3,6
battle-gen9randombattle-28111,QLearningPlayer 1,RandomPlayer 1,Win,111,4,6
battle-gen9randombattle-28112,QLearningPlayer 1,RandomPlayer 1,Win,22,1,6
battle-gen9randombattle-28113,QLearningPlayer 1,RandomPlayer 1,Win,63,2,6
battle-gen9randombattle-28114,QLearningPlayer 1,RandomPlayer 1,Win,41,5,6
battle-gen9randombattle-28115,QLearningPlayer 1,RandomPlayer 1,Win,64,1,6
battle-gen9randombattle-28116,QLearningPlayer 1,RandomPlayer 1,Win,43,5,6
battle-gen9randombattle-28117,QLearningPlayer 1,RandomPlayer 1,Win,37,2,6
battle-gen9randombattle-28118,QLearningPlayer 1,RandomPlayer 1,Win,45,2,6
battle-gen9randombattle-28119,QLearningPlayer 1,RandomPlayer 1,Win,46,4,6
battle-gen9randombattle-28120,QLearningPlayer 1,RandomPlayer 1,Win,26,3,6
battle-gen9randombattle-28121,QLearningPlayer 1,RandomPlayer 1,Win,29,3,6
battle-gen9randombattle-28122,QLearningPlayer 1,RandomPlayer 1,Win,45,4,6
battle-gen9randombattle-28123,QLearningPlayer 1,RandomPlayer 1,Win,30,3,6
battle-gen9randombattle-28124,QLearningPlayer 1,RandomPlayer 1,Win,68,3,6
battle-gen9randombattle-28125,QLearningPlayer 1,RandomPlayer 1,Win,75,5,6
battle-gen9randombattle-28126,QLearningPlayer 1,RandomPlayer 1,Win,31,1,6
battle-gen9randombattle-28127,QLearningPlayer 1,RandomPlayer 1,Win,38,4,6
battle-gen9randombattle-28128,QLearningPlayer 1,RandomPlayer 1,Win,30,4,6
battle-gen9randombattle-28129,QLearningPlayer 1,RandomPlayer 1,Win,33,3,6
battle-gen9randombattle-28130,QLearningPlayer 1,RandomPlayer 1,Loss,28,6,4
battle-gen9randombattle-28131,QLearningPlayer 1,RandomPlayer 1,Win,36,5,6
battle-gen9randombattle-28132,QLearningPlayer 1,RandomPlayer 1,Win,83,5,6
battle-gen9randombattle-28133,QLearningPlayer 1,RandomPlayer 1,Loss,83,6,4
battle-gen9randombattle-28134,QLearningPlayer 1,RandomPlayer 1,Win,34,2,6
battle-gen9randombattle-28135,QLearningPlayer 1,RandomPlayer 1,Win,56,3,6
battle-gen9randombattle-28136,QLearningPlayer 1,RandomPlayer 1,Win,30,3,6
battle-gen9randombattle-28137,QLearningPlayer 1,RandomPlayer 1,Win,37,5,6
battle-gen9randombattle-28138,QLearningPlayer 1,RandomPlayer 1,Win,16,2,6
battle-gen9randombattle-28139,QLearningPlayer 1,RandomPlayer 1,Win,23,2,6
battle-gen9randombattle-28140,QLearningPlayer 1,RandomPlayer 1,Win,98,5,6
battle-gen9randombattle-28141,QLearningPlayer 1,RandomPlayer 1,Win,63,5,6
