battle_tag,learner,opponent,outcome,n_turns,learner_pokemon_remaining,opponent_pokemon_remaining
battle-gen9randombattle-31988,QLearningPlayer 1,RandomPlayer 1,Win,20,1,6
battle-gen9randombattle-31989,QLearningPlayer 1,RandomPlayer 1,Win,47,2,6
battle-gen9randombattle-31990,QLearningPlayer 1,RandomPlayer 1,Win,15,1,6
battle-gen9randombattle-31991,QLearningPlayer 1,RandomPlayer 1,Win,49,5,6
battle-gen9randombattle-31992,QLearningPlayer 1,RandomPlayer 1,Win,32,2,6
battle-gen9randombattle-31993,QLearningPlayer 1,RandomPlayer 1,Win,33,3,6
battle-gen9randombattle-31994,QLearningPlayer 1,RandomPlayer 1,Loss,54,6,4
battle-gen9randombattle-31995,QLearningPlayer 1,RandomPlayer 1,Win,20,5,6
battle-gen9randombattle-31996,QLearningPlayer 1,RandomPlayer 1,Win,44,3,6
battle-gen9randombattle-31997,QLearningPlayer 1,RandomPlayer 1,Loss,61,6,4
battle-gen9randombattle-31998,QLearningPlayer 1,RandomPlayer 1,Win,25,3,6
battle-gen9randombattle-31999,QLearningPlayer 1,RandomPlayer 1,Win,35,1,6
battle-gen9randombattle-32000,QLearningPlayer 1,RandomPlayer 1,Win,44,3,6
battle-gen9randombattle-32001,QLearningPlayer 1,RandomPlayer 1,Loss,30,6,2
battle-gen9randombattle-32002,QLearningPlayer 1,RandomPlayer 1,Win,26,1,6
battle-gen9randombattle-32003,QLearningPlayer 1,RandomPlayer 1,Win,22,5,6
battle-gen9randombattle-32004,QLearningPlayer 1,RandomPlayer 1,Win,35,1,6
battle-gen9randombattle-32005,QLearningPlayer 1,RandomPlayer 1,Loss,49,6,5
battle-gen9randombattle-32006,QLearningPlayer 1,RandomPlayer 1,Win,27,5,6
battle-gen9randombattle-32007,QLearningPlayer 1,RandomPlayer 1,Win,59,2,6
battle-gen9randombattle-32008,QLearningPlayer 1,RandomPlayer 1,Win,45,3,6
battle-gen9randombattle-32009,QLearningPlayer 1,RandomPlayer 1,Win,28,2,6
battle-gen9randombattle-32010,QLearningPlayer 1,RandomPlayer 1,Win,29,3,6
battle-gen9randombattle-32011,QLearningPlayer 1,RandomPlayer 1,Win,41,5,6
battle-gen9randombattle-32012,QLearningPlayer 1,RandomPlayer 1,Win,20,3,6
battle-gen9randombattle-32013,QLearningPlayer 1,RandomPlayer 1,Win,78,5,6
battle-gen9randombattle-32014,QLearningPlayer 1,RandomPlayer 1,Win,56,4,6
battle-gen9randombattle-32015,QLearningPlayer 1,RandomPlayer 1,Win,51,5,6
battle-gen9randombattle-32016,QLearningPlayer 1,RandomPlayer 1,Win,55,4,6
battle-gen9randombattle-32017,QLearningPlayer 1,RandomPlayer 1,Win,21,1,6
battle-gen9randombattle-32018,QLearningPlayer 1,RandomPlayer 1,Win,52,4,6
battle-gen9randombattle-32019,QLearningPlayer 1,RandomPlayer 1,Win,37,2,6
battle-gen9randombattle-32020,QLearningPlayer 1,RandomPlayer 1,Win,112,5,6
battle-gen9randombattle-32021,QLearningPlayer 1,RandomPlayer 1,Win,24,3,6
battle-gen9randombattle-32022,QLearningPlayer 1,RandomPlayer 1,Win,80,4,6
battle-gen9randombattle-32023,QLearningPlayer 1,RandomPlayer 1,Win,39,0,6
battle-gen9randombattle-32024,QLearningPlayer 1,RandomPlayer 1,Win,61,2,6
battle-gen9randombattle-32025,QLearningPlayer 1,RandomPlayer 1,Win,52,4,6
battle-gen9randombattle-32026,QLearningPlayer 1,RandomPlayer 1,Win,27,3,6
battle-gen9randombattle-32027,QLearningPlayer 1,RandomPlayer 1,Win,22,3,6
battle-gen9randombattle-32028,QLearningPlayer 1,RandomPlayer 1,Loss,40,6,4
battle-gen9randombattle-32029,QLearningPlayer 1,RandomPlayer 1,Win,21,1,6
battle-gen9randombattle-32030,QLearningPlayer 1,RandomPlayer 1,Win,25,2,6
battle-gen9randombattle-32031,QLearningPlayer 1,RandomPlayer 1,Win,54,4,6
battle-gen9randombattle-32032,QLearningPlayer 1,RandomPlayer 1,Win,44,1,6
battle-gen9randombattle-32033,QLearningPlayer 1,RandomPlayer 1,Win,27,2,6
battle-gen9randombattle-32034,QLearningPlayer 1,RandomPlayer 1,Win,48,4,6
battle-gen9randombattle-32035,QLearningPlayer 1,RandomPlayer 1,Win,50,3,6
battle-gen9randombattle-32036,QLearningPlayer 1,RandomPlayer 1,Win,21,1,6
battle-gen9randombattle-32037,QLearningPlayer 1,RandomPlayer 1,Win,32,3,6
battle-gen9randombattle-32038,QLearningPlayer 1,RandomPlayer 1,Win,26,4,6
battle-gen9randombattle-32039,QLearningPlayer 1,RandomPlayer 1,Win,48,1,6
battle-gen9randombattle-32040,QLearningPlayer 1,RandomPlayer 1,Win,57,3,6
battle-gen9randombattle-32041,QLearningPlayer 1,RandomPlayer 1,Win,26,2,6
battle-gen9randombattle-32042,QLearningPlayer 1,RandomPlayer 1,Win,46,4,6
battle-gen9randombattle-32043,QLearningPlayer 1,RandomPlayer 1,Win,42,4,6
battle-gen9randombattle-32044,QLearningPlayer 1,RandomPlayer 1,Win,51,2,6
battle-gen9randombattle-32045,QLearningPlayer 1,RandomPlayer 1,Win,46,4,6
battle-gen9randombattle-32046,QLearningPlayer 1,RandomPlayer 1,Win,53,2,6
battle-gen9randombattle-32047,QLearningPlayer 1,RandomPlayer 1,Win,76,3,6
battle-gen9randombattle-32048,QLearningPlayer 1,RandomPlayer 1,Win,79,3,6
battle-gen9randombattle-32049,QLearningPlayer 1,RandomPlayer 1,Win,35,4,6
battle-gen9randombattle-32050,QLearningPlayer 1,RandomPlayer 1,Win,31,5,6
battle-gen9randombattle-32051,QLearningPlayer 1,RandomPlayer 1,Win,56,3,6
battle-gen9randombattle-32052,QLearningPlayer 1,RandomPlayer 1,Loss,93,6,5
battle-gen9randombattle-32053,QLearningPlayer 1,RandomPlayer 1,Win,79,1,6
battle-gen9randombattle-32054,QLearningPlayer 1,RandomPlayer 1,Win,91,5,6
battle-gen9randombattle-32055,QLearningPlayer 1,RandomPlayer 1,Win,43,3,6
battle-gen9randombattle-32056,QLearningPlayer 1,RandomPlayer 1,Win,109,4,6
battle-gen9randombattle-32057,QLearningPlayer 1,RandomPlayer 1,Loss,48,6,5
battle-gen9randombattle-32058,QLearningPlayer 1,RandomPlayer 1,Win,27,2,6
battle-gen9randombattle-32059,QLearningPlayer 1,RandomPlayer 1,Loss,46,6,5
battle-gen9randombattle-32060,QLearningPlayer 1,RandomPlayer 1,Loss,29,6,3
battle-gen9randombattle-32061,QLearningPlayer 1,RandomPlayer 1,Win,28,1,6
battle-gen9randombattle-32062,QLearningPlayer 1,RandomPlayer 1,Win,44,3,6
battle-gen9randombattle-32063,QLearningPlayer 1,RandomPlayer 1,Win,31,0,6
battle-gen9randombattle-32064,QLearningPlayer 1,RandomPlayer 1,Win,44,3,6
battle-gen9randombattle-32065,QLearningPlayer 1,RandomPlayer 1,Win,37,4,6
battle-gen9randombattle-32066,QLearningPlayer 1,RandomPlayer 1,Loss,70,6,5
battle-gen9randombattle-32067,QLearningPlayer 1,RandomPlayer 1,Loss,76,6,5
battle-gen9randombattle-32068,QLearningPlayer 1,RandomPlayer 1,Win,24,5,6
battle-gen9randombattle-32069,QLearningPlayer 1,RandomPlayer 1,Win,21,2,6
battle-gen9randombattle-32070,QLearningPlayer 1,RandomPlayer 1,Loss,63,6,5
battle-gen9randombattle-32071,QLearningPlayer 1,RandomPlayer 1,Win,43,5,6
battle-gen9randombattle-32072,QLearningPlayer 1,RandomPlayer 1,Win,31,5,6
battle-gen9randombattle-32073,QLearningPlayer 1,RandomPlayer 1,Win,42,5,6
battle-gen9randombattle-32074,QLearningPlayer 1,RandomPlayer 1,Win,26,5,6
battle-gen9randombattle-32075,QLearningPlayer 1,RandomPlayer 1,Win,43,5,6
battle-gen9randombattle-32076,QLearningPlayer 1,RandomPlayer 1,Win,43,0,6
battle-gen9randombattle-32077,QLearningPlayer 1,RandomPlayer 1,Loss,103,6,5
battle-gen9randombattle-32078,QLearningPlayer 1,RandomPlayer 1,Loss,26,6,4
battle-gen9randombattle-32079,QLearningPlayer 1,RandomPlayer 1,Loss,75,6,5
battle-gen9randombattle-32080,QLearningPlayer 1,RandomPlayer 1,Win,29,3,6
battle-gen9randombattle-32081,QLearningPlayer 1,RandomPlayer 1,Win,39,3,6
battle-gen9randombattle-32082,QLearningPlayer 1,RandomPlayer 1,Win,75,3,6
battle-gen9randombattle-32083,QLearningPlayer 1,RandomPlayer 1,Win,39,0,6
battle-gen9randombattle-32084,QLearningPlayer 1,RandomPlayer 1,Win,36,5,6
battle-gen9randombattle-32085,QLearningPlayer 1,RandomPlayer 1,Win,36,0,6
battle-gen9randombattle-32086,QLearningPlayer 1,RandomPlayer 1,Win,43,2,6
battle-gen9randombattle-32087,QLearningPlayer 1,RandomPlayer 1,Loss,32,6,5
battle-gen9randombattle-32088,QLearningPlayer 1,MaxBasePowerPlay 1,Win,36,4,6
battle-gen9randombattle-32089,QLearningPlayer 1,MaxBasePowerPlay 1,Win,28,3,6
battle-gen9randombattle-32090,QLearningPlayer 1,MaxBasePowerPlay 1,Win,100,5,6
battle-gen9randombattle-32091,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,19,6,4
battle-gen9randombattle-32092,QLearningPlayer 1,MaxBasePowerPlay 1,Win,10,1,6
battle-gen9randombattle-32093,QLearningPlayer 1,MaxBasePowerPlay 1,Win,32,2,6
battle-gen9randombattle-32094,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,18,6,3
battle-gen9randombattle-32095,QLearningPlayer 1,MaxBasePowerPlay 1,Win,47,3,6
battle-gen9randombattle-32096,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,32,6,3
battle-gen9randombattle-32097,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,24,6,4
battle-gen9randombattle-32098,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,10,6,3
battle-gen9randombattle-32099,QLearningPlayer 1,MaxBasePowerPlay 1,Win,55,4,6
battle-gen9randombattle-32100,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,10,6,0
battle-gen9randombattle-32101,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,50,6,5
battle-gen9randombattle-32102,QLearningPlayer 1,MaxBasePowerPlay 1,Win,17,3,6
battle-gen9randombattle-32103,QLearningPlayer 1,MaxBasePowerPlay 1,Win,45,2,6
battle-gen9randombattle-32104,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,52,6,4
battle-gen9randombattle-32105,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,20,6,2
battle-gen9randombattle-32106,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,11,6,2
battle-gen9randombattle-32107,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,29,6,4
battle-gen9randombattle-32108,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,17,6,1
battle-gen9randombattle-32109,QLearningPlayer 1,MaxBasePowerPlay 1,Win,54,5,6
battle-gen9randombattle-32110,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,18,6,4
battle-gen9randombattle-32111,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,41,6,4
battle-gen9randombattle-32112,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,43,6,4
battle-gen9randombattle-32113,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,19,6,5
battle-gen9randombattle-32114,QLearningPlayer 1,MaxBasePowerPlay 1,Win,54,5,6
battle-gen9randombattle-32115,QLearningPlayer 1,MaxBasePowerPlay 1,Win,46,4,6
battle-gen9randombattle-32116,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,57,6,3
battle-gen9randombattle-32117,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,20,6,4
battle-gen9randombattle-32118,QLearningPlayer 1,MaxBasePowerPlay 1,Win,87,5,6
battle-gen9randombattle-32119,QLearningPlayer 1,MaxBasePowerPlay 1,Win,10,2,6
battle-gen9randombattle-32120,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,18,6,5
battle-gen9randombattle-32121,QLearningPlayer 1,MaxBasePowerPlay 1,Loss,27,6,4
