battle_tag,learner,opponent,outcome,n_turns,learner_pokemon_remaining,opponent_pokemon_remaining
battle-gen9randombattle-23587,QLearningPlayer 1,RandomPlayer 1,Win,39,2,6
battle-gen9randombattle-23588,QLearningPlayer 1,RandomPlayer 1,Win,81,5,6
battle-gen9randombattle-23589,QLearningPlayer 1,RandomPlayer 1,Win,31,2,6
battle-gen9randombattle-23590,QLearningPlayer 1,RandomPlayer 1,Win,40,3,6
battle-gen9randombattle-23591,QLearningPlayer 1,RandomPlayer 1,Win,37,2,6
battle-gen9randombattle-23592,QLearningPlayer 1,RandomPlayer 1,Win,49,3,6
battle-gen9randombattle-23593,QLearningPlayer 1,RandomPlayer 1,Win,12,1,6
battle-gen9randombattle-23594,QLearningPlayer 1,RandomPlayer 1,Loss,26,6,4
battle-gen9randombattle-23595,QLearningPlayer 1,RandomPlayer 1,Win,26,2,6
battle-gen9randombattle-23596,QLearningPlayer 1,RandomPlayer 1,Win,121,3,6
battle-gen9randombattle-23597,QLearningPlayer 1,RandomPlayer 1,Win,30,3,6
battle-gen9randombattle-23598,QLearningPlayer 1,RandomPlayer 1,Win,27,1,6
battle-gen9randombattle-23599,QLearningPlayer 1,RandomPlayer 1,Win,41,5,6
battle-gen9randombattle-23600,QLearningPlayer 1,RandomPlayer 1,Loss,39,6,3
battle-gen9randombattle-23601,QLearningPlayer 1,RandomPlayer 1,Win,92,4,6
battle-gen9randombattle-23602,QLearningPlayer 1,RandomPlayer 1,Win,24,1,6
battle-gen9randombattle-23603,QLearningPlayer 1,RandomPlayer 1,Win,79,2,6
battle-gen9randombattle-23604,QLearningPlayer 1,RandomPlayer 1,Win,57,4,6
battle-gen9randombattle-23605,QLearningPlayer 1,RandomPlayer 1,Loss,33,6,5
battle-gen9randombattle-23606,QLearningPlayer 1,RandomPlayer 1,Win,26,3,6
battle-gen9randombattle-23607,QLearningPlayer 1,RandomPlayer 1,Win,42,3,6
battle-gen9randombattle-23608,QLearningPlayer 1,RandomPlayer 1,Win,77,2,6
battle-gen9randombattle-23609,QLearningPlayer 1,RandomPlayer 1,Loss,32,6,3
battle-gen9randombattle-23610,QLearningPlayer 1,RandomPlayer 1,Win,26,2,6
battle-gen9randombattle-23611,QLearningPlayer 1,RandomPlayer 1,Win,47,1,6
battle-gen9randombattle-23612,QLearningPlayer 1,RandomPlayer 1,Win,34,5,6
battle-gen9randombattle-23613,QLearningPlayer 1,RandomPlayer 1,Loss,34,6,5
battle-gen9randombattle-23614,QLearningPlayer 1,RandomPlayer 1,Win,46,2,6
battle-gen9randombattle-23615,QLearningPlayer 1,RandomPlayer 1,Win,30,5,6
battle-gen9randombattle-23616,QLearningPlayer 1,RandomPlayer 1,Win,28,3,6
battle-gen9randombattle-23617,QLearningPlayer 1,RandomPlayer 1,Win,71,3,6
battle-gen9randombattle-23618,QLearningPlayer 1,RandomPlayer 1,Win,39,2,6
battle-gen9randombattle-23619,QLearningPlayer 1,RandomPlayer 1,Win,68,4,6
battle-gen9randombattle-23620,QLearningPlayer 1,RandomPlayer 1,Win,39,1,6
battle-gen9randombattle-23621,QLearningPlayer 1,RandomPlayer 1,Win,30,1,6
battle-gen9randombattle-23622,QLearningPlayer 1,RandomPlayer 1,Win,38,5,6
battle-gen9randombattle-23623,QLearningPlayer 1,RandomPlayer 1,Loss,95,6,5
battle-gen9randombattle-23624,QLearningPlayer 1,RandomPlayer 1,Win,20,3,6
battle-gen9randombattle-23625,QLearningPlayer 1,RandomPlayer 1,Win,33,2,6
battle-gen9randombattle-23626,QLearningPlayer 1,RandomPlayer 1,Loss,65,6,5
battle-gen9randombattle-23627,QLearningPlayer 1,RandomPlayer 1,Win,47,4,6
battle-gen9randombattle-23628,QLearningPlayer 1,RandomPlayer 1,Win,43,5,6
battle-gen9randombattle-23629,QLearningPlayer 1,RandomPlayer 1,Loss,37,6,5
battle-gen9randombattle-23630,QLearningPlayer 1,RandomPlayer 1,Win,93,5,6
battle-gen9randombattle-23631,QLearningPlayer 1,RandomPlayer 1,Win,51,4,6
battle-gen9randombattle-23632,QLearningPlayer 1,RandomPlayer 1,Win,62,3,6
battle-gen9randombattle-23633,QLearningPlayer 1,RandomPlayer 1,Win,41,1,6
battle-gen9randombattle-23634,QLearningPlayer 1,RandomPlayer 1,Win,96,3,6
battle-gen9randombattle-23635,QLearningPlayer 1,RandomPlayer 1,Win,17,0,6
battle-gen9randombattle-23636,QLearningPlayer 1,RandomPlayer 1,Win,34,2,6
battle-gen9randombattle-23637,QLearningPlayer 1,RandomPlayer 1,Win,27,2,6
battle-gen9randombattle-23638,QLearningPlayer 1,RandomPlayer 1,Win,35,4,6
battle-gen9randombattle-23639,QLearningPlayer 1,RandomPlayer 1,Win,42,3,6
battle-gen9randombattle-23640,QLearningPlayer 1,RandomPlayer 1,Loss,32,6,5
battle-gen9randombattle-23641,QLearningPlayer 1,RandomPlayer 1,Win,17,2,6
battle-gen9randombattle-23642,QLearningPlayer 1,RandomPlayer 1,Win,23,2,6
battle-gen9randombattle-23643,QLearningPlayer 1,RandomPlayer 1,Loss,35,6,5
battle-gen9randombattle-23644,QLearningPlayer 1,RandomPlayer 1,Win,41,3,6
battle-gen9randombattle-23645,QLearningPlayer 1,RandomPlayer 1,Win,44,0,6
battle-gen9randombattle-23646,QLearningPlayer 1,RandomPlayer 1,Win,36,2,6
battle-gen9randombattle-23647,QLearningPlayer 1,RandomPlayer 1,Win,39,3,6
battle-gen9randombattle-23648,QLearningPlayer 1,RandomPlayer 1,Win,26,4,6
battle-gen9randombattle-23649,QLearningPlayer 1,RandomPlayer 1,Win,39,3,6
battle-gen9randombattle-23650,QLearningPlayer 1,RandomPlayer 1,Win,36,2,6
battle-gen9randombattle-23651,QLearningPlayer 1,RandomPlayer 1,Win,51,3,6
battle-gen9randombattle-23652,QLearningPlayer 1,RandomPlayer 1,Win,26,2,6
battle-gen9randombattle-23653,QLearningPlayer 1,RandomPlayer 1,Loss,57,6,4
battle-gen9randombattle-23654,QLearningPlayer 1,RandomPlayer 1,Win,42,1,6
battle-gen9randombattle-23655,QLearningPlayer 1,RandomPlayer 1,Loss,33,6,5
battle-gen9randombattle-23656,QLearningPlayer 1,RandomPlayer 1,Win,40,5,6
battle-gen9randombattle-23657,QLearningPlayer 1,RandomPlayer 1,Win,58,4,6
battle-gen9randombattle-23658,QLearningPlayer 1,RandomPlayer 1,Win,26,3,6
battle-gen9randombattle-23659,QLearningPlayer 1,RandomPlayer 1,Win,21,2,6
battle-gen9randombattle-23660,QLearningPlayer 1,RandomPlayer 1,Win,64,1,6
battle-gen9randombattle-23661,QLearningPlayer 1,RandomPlayer 1,Win,67,3,6
battle-gen9randombattle-23662,QLearningPlayer 1,RandomPlayer 1,Win,31,1,6
battle-gen9randombattle-23663,QLearningPlayer 1,RandomPlayer 1,Win,56,2,6
battle-gen9randombattle-23664,QLearningPlayer 1,RandomPlayer 1,Win,24,1,6
battle-gen9randombattle-23665,QLearningPlayer 1,RandomPlayer 1,Win,64,3,6
battle-gen9randombattle-23666,QLearningPlayer 1,RandomPlayer 1,Win,30,3,6
